Feature,Importance_score_xgb
amenities_fast wifi – 72 mbps,0.00028722512
amenities_park view,0.00028721982
"amenities_50"" hdtv",0.00028447033
amenities_washer – in unit,0.00028377835
amenities_sound system with bluetooth and aux,0.000283295
amenities_single level home,0.00028289403
host_response_time_within a few hours,0.00028241138
amenities_baby bath,0.00028204866
review_scores_accuracy,0.0002807765
"amenities_32"" hdtv with standard cable",0.00028064495
amenities_paid parking on premises,0.00027901138
"amenities_clothing storage: wardrobe, dresser, and closet",0.00027900704
amenities_tv,0.0002783198
amenities_drying rack for clothing,0.00027674006
amenities_fireplace guards,0.00027459624
amenities_children’s books and toys,0.00027454732
amenities_cooking basics,0.00027400773
amenities_trash compactor,0.00027260813
amenities_portable fans,0.00027249454
amenities_security cameras on property,0.00027174302
"amenities_clothing storage: wardrobe, closet, and dresser",0.00027153353
amenities_hotpoint refrigerator,0.00027006105
amenities_bosch induction stove,0.000269096
amenities_shared pool,0.00026818606
amenities_freezer,0.00026792107
amenities_oven,0.00026752867
amenities_dryer – in unit,0.000266543
number_of_reviews_ltm,0.00026632068
review_scores_checkin,0.00026542044
amenities_mini fridge,0.00026536646
amenities_dedicated workspace,0.0002649154
amenities_free dryer,0.00026483845
amenities_toaster,0.00026439244
amenities_private entrance,0.00026415975
is_multi_listing,0.00026343827
amenities_conditioner,0.00026337066
amenities_wifi,0.00026303748
amenities_various body soap,0.00026275055
amenities_window guards,0.0002626277
property_type_Private room in vacation home,0.00026160228
amenities_mosquito net,0.00026131442
amenities_hangers,0.00026057696
amenities_self check-in,0.00025851914
"amenities_42"" hdtv with netflix",0.0002580495
neighbourhood_cleansed_Wandsworth,0.00025465558
amenities_stove,0.0002539622
amenities_heating,0.00025283225
host_response_time_within an hour,0.0002526109
amenities_coffee maker: drip coffee maker,0.00025249404
amenities_shared patio or balcony,0.00025158343
"amenities_coffee maker: espresso machine, french press",0.0002514054
amenities_ethernet connection,0.00025125052
amenities_children’s dinnerware,0.00025087805
amenities_outlet covers,0.00025066987
amenities_fast wifi – 73 mbps,0.00024973907
amenities_portable heater,0.00024758463
amenities_room-darkening shades,0.00024643884
amenities_pack ’n play/travel crib - available upon request,0.00024608712
property_type_Shared room in townhouse,0.0002457935
host_neighbourhood_missing,0.00024350862
neighbourhood_cleansed_Bromley,0.00024051627
amenities_rice maker,0.00024038578
property_type_Private room in serviced apartment,0.00023919903
amenities_free washer – in unit,0.0002365641
amenities_babysitter recommendations,0.00023644292
amenities_hot water kettle,0.00023624348
neighbourhood_cleansed_Havering,0.00023580265
property_type_Private room in guest suite,0.00023414078
property_type_Entire vacation home,0.0002341295
"amenities_exercise equipment: free weights, yoga mat",0.00023240047
amenities_fire extinguisher,0.00023095933
amenities_washer,0.00023049078
maximum_nights,0.00023038007
amenities_carbon monoxide alarm,0.00022963352
amenities_bose bluetooth sound system,0.00022841459
amenities_central heating,0.00022698009
amenities_shower gel,0.00022619123
amenities_clothing storage: walk-in closet,0.00022444119
amenities_fast wifi – 57 mbps,0.00022376858
amenities_high chair,0.00022342514
amenities_paid washer – in unit,0.000222515
amenities_extra pillows and blankets,0.0002223124
amenities_outdoor shower,0.00022116127
amenities_changing table,0.00022109726
amenities_children’s books and toys for ages 0-2 years old,0.00022045372
property_type_Houseboat,0.00021943831
amenities_stainless steel gas stove,0.00021466862
amenities_folding or convertible high chair - available upon request,0.00021384907
amenities_shared backyard,0.00021360327
host_is_superhost,0.00021292406
amenities_clothing storage: closet,0.00020736657
amenities_tv with standard cable,0.00020607474
host_identity_verified,0.0002058997
amenities_wine glasses,0.00020574492
amenities_bed linens,0.0002053824
amenities_first aid kit,0.00020407651
amenities_blender,0.00020375926
"amenities_clothing storage: closet, wardrobe, and dresser",0.00020156802
amenities_aesop body soap,0.00020103801
amenities_exercise equipment: stationary bike,0.00019815691
amenities_coffee,0.0001966148
amenities_private backyard – fully fenced,0.00019607683
amenities_clothing storage: closet and dresser,0.00019604844
amenities_beko refrigerator,0.00019560414
amenities_bosch electric stove,0.00019300854
amenities_bluetooth sound system,0.00019083588
amenities_smeg refrigerator,0.00019041364
amenities_paid dryer – in unit,0.00019011782
amenities_river view,0.00018982419
"amenities_55"" hdtv",0.00018582329
amenities_clothing storage: dresser and closet,0.00018531055
"amenities_tv with amazon prime video, netflix",0.00017912177
amenities_bathtub,0.00017684976
amenities_faith in nature shampoo,0.00017549841
amenities_children’s books and toys for ages 5-10 years old,0.00017325993
